X,Label,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Replicate,Generation,Line
701,batch3.jpeg,0.692,1.781,0.495,97.328,0.466,1.756,1043,1040,100.008,0.502,3.601,0.278,0.938,1043,1040,R1,G4,Large_responce
288,batch3.jpeg,0.546,1.58,0.44,3.432,0.466,1.598,1820,1081,6.582,0.455,3.591,0.279,0.918,1864,1065,R1,G4,Control
1420,Control 7.jpg,0.902,2.03,0.566,178.187,0.466,2.03,1126,2553,173.054,0.563,3.588,0.279,0.937,1170,2543,R1,G2,Control
18,batch1.jpeg,0.681,1.764,0.492,93.998,0.466,1.754,454,71,95.774,0.493,3.589,0.279,0.939,454,71,R1,G4,Control
286,C1.jpeg,0.602,1.651,0.464,84.091,0.466,1.642,830,1109,80.838,0.478,3.556,0.281,0.923,839,1047,R1,G5,Control
345,Control 1.jpg,0.791,1.887,0.534,174.333,0.466,1.881,2465,1019,176.669,0.537,3.535,0.283,0.932,2525,1003,R1,G3,Control
1526,batch4.jpg,0.75,1.826,0.523,5.15,0.466,1.881,2900,2399,2.132,0.529,3.49,0.287,0.941,3027,2373,R1,G6,Control
579,batch3.jpeg,0.806,1.883,0.545,97.497,0.466,1.9,1266,292,95.528,0.546,3.456,0.289,0.927,1266,292,R1,G4,Large_responce
242,batch6.jpeg,0.758,1.824,0.529,83.056,0.466,1.865,496,1470,79.531,0.55,3.446,0.29,0.883,511,1378,R1,G7,Control
259,Control 2.jpg,0.573,1.581,0.461,171.743,0.466,1.595,826,546,165.518,0.466,3.425,0.292,0.932,874,533,R1,G2,Control
265,batch4.jpeg,0.577,1.57,0.468,87.22,0.466,1.566,1262,1493,83.157,0.477,3.357,0.298,0.935,1269,1418,R1,G7,Control
295,batch5.jpeg,0.661,1.67,0.504,98.529,0.466,1.802,1097,1638,99.782,0.522,3.316,0.302,0.837,1097,1638,R1,G4,Control
18,batch6.jpeg,0.59,1.548,0.485,97.963,0.466,1.57,1368,170,99.462,0.488,3.191,0.313,0.928,1368,170,R1,G4,Control
599,control_9.jpg,0.617,1.852,0.424,85.078,0.467,1.804,783,593,81.87,0.441,4.363,0.229,0.914,788,523,R1,G1,Control
138,control_batch_01.jpg,0.676,1.913,0.45,158.14,0.467,1.853,820,1125,157.319,0.472,4.254,0.235,0.924,825,1122,R1,G1,Control
18,batch7.jpeg,0.901,2.207,0.52,90.105,0.467,2.143,1405,242,86.791,0.532,4.246,0.235,0.943,1410,135,R1,G7,Large_responce
202,batch1.jpeg,0.926,2.231,0.529,90.243,0.467,2.195,784,941,93.447,0.528,4.219,0.237,0.935,784,941,R1,G5,Large_responce
82,control_batch_01.jpg,0.78,2.048,0.485,3.081,0.467,2.043,193,721,177.852,0.488,4.221,0.237,0.936,232,717,R1,G1,Control
663,control_9.jpg,0.359,1.386,0.33,77.379,0.467,1.364,939,1083,72.582,0.35,4.196,0.238,0.895,952,1032,R1,G1,Control
521,batch6.jpeg,0.817,2.09,0.498,101.372,0.467,2.04,597,1335,104.597,0.498,4.198,0.238,0.932,597,1335,R1,G7,Large_responce
559,batch2.jpeg,0.693,1.922,0.459,79.716,0.467,1.89,509,1217,77.8,0.468,4.188,0.239,0.919,518,1143,R1,G7,Large_responce
637,batch3.jpeg,0.786,2.046,0.489,90.794,0.467,1.976,1063,26,93.621,0.474,4.183,0.239,0.951,1063,26,R1,G7,Large_responce
410,Control 2.jpg,0.597,1.774,0.428,179.966,0.467,1.73,3246,1993,178.305,0.425,4.143,0.241,0.95,3311,1971,R1,G2,Control
58,batch5.jpeg,0.851,2.111,0.513,86.962,0.467,2.119,1190,329,91.112,0.517,4.115,0.243,0.933,1190,329,R1,G7,Large_responce
609,batch2.jpeg,0.648,1.837,0.449,82.885,0.467,1.815,617,1197,81.634,0.449,4.093,0.244,0.924,620,1129,R1,G5,Large_responce
458,batch6.jpeg,0.932,2.205,0.538,88.064,0.467,2.169,736,1064,84.56,0.535,4.096,0.244,0.927,744,959,R1,G7,Large_responce
423,batch2.jpeg,0.803,2.043,0.501,88.927,0.467,2.013,549,492,85.486,0.502,4.081,0.245,0.937,553,416,R1,G5,Large_responce
1511,Large 5.jpg,0.653,1.841,0.452,4.242,0.467,1.804,2898,2122,1.34,0.455,4.075,0.245,0.948,3018,2091,R1,G3,Large_responce
372,C2.jpeg,0.774,2.002,0.492,92.745,0.467,1.972,226,72,96.089,0.516,4.07,0.246,0.908,226,72,R1,G5,Control
1292,Control 7.jpg,0.6,1.762,0.434,1.093,0.467,1.719,2687,1380,1.364,0.43,4.063,0.246,0.94,2775,1358,R1,G2,Control
1858,batch5.jpg,0.722,1.934,0.476,163.883,0.467,1.885,91,1863,161.757,0.484,4.066,0.246,0.946,114,1855,R1,G6,Control
767,Control 4.jpg,0.519,1.634,0.404,0.458,0.467,1.599,3073,649,3.302,0.409,4.041,0.247,0.943,3198,629,R1,G2,Control
1110,batch4.jpeg,0.607,1.765,0.438,92.768,0.467,1.781,831,769,95.631,0.438,4.032,0.248,0.895,831,769,R1,G7,Large_responce
761,batch2.jpeg,0.516,1.625,0.404,85.494,0.467,1.599,723,1633,86.553,0.431,4.02,0.249,0.917,725,1550,R1,G7,Control
178,batch6.jpeg,0.69,1.878,0.468,104.087,0.467,1.854,832,1432,105.524,0.481,4.012,0.249,0.933,832,1432,R1,G4,Control
329,batch6.jpeg,0.907,2.152,0.537,86.544,0.467,2.094,1050,287,82.666,0.558,4.011,0.249,0.94,1061,186,R1,G7,Large_responce
1577,Control 6.jpg,0.819,2.045,0.51,172.592,0.467,2.01,3377,1667,170.921,0.526,4.014,0.249,0.947,3408,1653,R1,G2,Control
527,batch2.jpeg,0.492,1.582,0.396,81.848,0.467,1.576,639,1057,79.046,0.409,4,0.25,0.888,645,995,R1,G7,Large_responce
263,batch6.jpeg,0.626,1.787,0.446,93.594,0.467,1.773,701,1309,97.431,0.461,4.005,0.25,0.902,701,1309,R1,G4,Large_responce
691,C2.jpeg,0.593,1.737,0.434,61.968,0.467,1.707,700,1284,62.65,0.467,3.999,0.25,0.907,728,1226,R1,G5,Control
1522,Control 6.jpg,0.446,1.506,0.377,165.163,0.467,1.486,1371,1195,166.059,0.382,3.993,0.25,0.937,1378,1180,R1,G2,Control
901,Large 3.jpg,0.617,1.772,0.443,178.109,0.467,1.752,1549,2380,177.585,0.442,4,0.25,0.939,1563,2362,R1,G3,Large_responce
560,batch2.jpeg,0.491,1.578,0.396,84.832,0.467,1.565,1163,782,84.359,0.397,3.987,0.251,0.915,1163,701,R1,G7,Control
48,batch1.jpeg,0.705,1.89,0.475,93.964,0.467,1.855,1219,414,93.772,0.504,3.981,0.251,0.916,1219,414,R1,G4,Large_responce
216,Large 4.jpg,0.688,1.866,0.469,1.753,0.467,1.848,2918,2033,176.73,0.474,3.978,0.251,0.936,3044,2006,R1,G3,Large_responce
212,batch3.jpeg,0.789,2.002,0.502,178.823,0.467,1.975,1816,838,1.181,0.509,3.99,0.251,0.937,1829,823,R1,G4,Control
1131,Large 2.jpg,0.659,1.829,0.459,2.262,0.467,1.793,2218,1796,1.685,0.459,3.987,0.251,0.938,2339,1767,R1,G3,Large_responce
80,batch1.jpeg,0.674,1.848,0.465,94.575,0.467,1.824,189,444,91.848,0.479,3.979,0.251,0.94,189,444,R1,G4,Control
854,Control 4.jpg,0.668,1.84,0.462,0.649,0.467,1.802,2564,1516,1.953,0.465,3.98,0.251,0.945,2646,1491,R1,G2,Control
389,Large 1.jpg,0.784,1.995,0.5,6.682,0.467,1.959,3318,1164,5.25,0.501,3.987,0.251,0.945,3438,1134,R1,G3,Large_responce
792,Large 3.jpg,0.722,1.913,0.481,175.782,0.467,1.872,3348,1642,172.555,0.479,3.98,0.251,0.947,3402,1626,R1,G3,Large_responce
1557,batch6.jpeg,0.731,1.922,0.484,90.71,0.467,1.929,799,309,92.353,0.475,3.972,0.252,0.932,799,309,R1,G5,Large_responce
1230,Large 2.jpg,0.862,2.087,0.526,5.771,0.467,2.034,3150,2433,5.651,0.532,3.971,0.252,0.944,3316,2391,R1,G3,Large_responce
1133,batch3.jpeg,0.681,1.855,0.467,88.135,0.467,1.817,633,1597,91.259,0.459,3.971,0.252,0.948,633,1597,R1,G6,Large_responce
846,Large 3.jpg,0.82,2.033,0.514,170.713,0.467,2.014,1307,1986,168.219,0.523,3.958,0.253,0.924,1333,1973,R1,G3,Large_responce
127,batch5.jpeg,0.776,1.978,0.5,91.583,0.467,1.961,663,802,94.814,0.494,3.959,0.253,0.932,663,802,R1,G7,Large_responce
1369,Large 5.jpg,0.605,1.746,0.441,173.128,0.467,1.704,1812,1127,175.03,0.438,3.959,0.253,0.945,1831,1104,R1,G3,Large_responce
603,Control 2.jpg,0.874,2.097,0.531,9.141,0.467,2.037,525,957,5.877,0.525,3.951,0.253,0.95,681,904,R1,G3,Control
904,control_4.jpg,0.615,1.755,0.446,81.423,0.467,1.744,985,745,84.123,0.492,3.93,0.254,0.875,989,677,R1,G1,Control
1671,Control 6.jpg,0.592,1.722,0.438,174.5,0.467,1.701,1184,2404,176.553,0.449,3.934,0.254,0.935,1220,2377,R1,G2,Control
1308,Large 5.jpg,0.818,2.027,0.514,8.723,0.467,1.974,3318,684,6.442,0.518,3.943,0.254,0.941,3476,637,R1,G3,Large_responce
45,Large 4.jpg,0.772,1.968,0.5,4.075,0.467,1.932,872,860,2.816,0.503,3.937,0.254,0.942,1013,825,R1,G3,Large_responce
1413,Control 5.jpg,0.814,2.018,0.513,3.995,0.467,1.981,3775,2049,3.738,0.522,3.932,0.254,0.943,3945,2009,R1,G3,Control
567,Large 1.jpg,0.785,1.984,0.504,177.322,0.467,1.953,3358,2325,2.476,0.502,3.937,0.254,0.946,3415,2302,R1,G3,Large_responce
283,Control 2.jpg,0.529,1.625,0.415,5.839,0.467,1.613,3658,800,5.096,0.418,3.915,0.255,0.93,3775,767,R1,G2,Control
496,Control 1.jpg,0.786,1.982,0.505,179.203,0.467,1.938,3028,2298,177.944,0.526,3.923,0.255,0.931,3195,2275,R1,G3,Control
809,Large 3.jpg,0.914,2.136,0.545,1.623,0.467,2.112,3568,1745,3.148,0.55,3.917,0.255,0.933,3722,1714,R1,G3,Large_responce
39,batch7.jpeg,0.767,1.956,0.499,86.231,0.467,1.935,1276,437,82.875,0.497,3.921,0.255,0.938,1287,341,R1,G7,Large_responce
1740,Large 6.jpg,0.646,1.797,0.458,173.412,0.467,1.785,3378,2416,168.756,0.455,3.926,0.255,0.944,3383,2413,R1,G3,Large_responce
1284,Control 7.jpg,0.609,1.743,0.444,174.058,0.467,1.721,545,1292,173.171,0.443,3.922,0.255,0.95,562,1275,R1,G2,Control
595,Control 5.jpg,0.843,2.049,0.524,2.745,0.467,2.017,624,1391,2.035,0.519,3.915,0.255,0.952,736,1364,R1,G2,Control
25,batch1.jpeg,0.585,1.705,0.437,94.828,0.467,1.677,380,140,93.945,0.452,3.9,0.256,0.919,380,140,R1,G7,Control
663,batch2.jpeg,0.474,1.537,0.393,86.112,0.467,1.52,571,1211,88.55,0.404,3.912,0.256,0.926,572,1132,R1,G7,Control
1170,batch4.jpg,0.489,1.558,0.4,176.761,0.467,1.541,1343,330,173.29,0.424,3.899,0.256,0.93,1396,315,R1,G6,Control
1249,Control 7.jpg,0.842,2.048,0.524,174.758,0.467,2.016,1756,958,178.546,0.535,3.913,0.256,0.943,1810,941,R1,G2,Control
1038,Control 4.jpg,0.967,2.195,0.561,3.142,0.467,2.162,3001,2126,4.479,0.567,3.911,0.256,0.943,3152,2087,R1,G3,Control
1344,Control 5.jpg,0.779,1.97,0.504,3.155,0.467,1.948,3738,1533,6.147,0.502,3.912,0.256,0.944,3865,1496,R1,G3,Control
1137,batch3.jpeg,0.591,1.713,0.439,79.28,0.467,1.711,283,1697,82.626,0.446,3.898,0.257,0.924,293,1612,R1,G6,Large_responce
1354,Control 5.jpg,0.802,1.992,0.512,8.795,0.467,1.967,3259,1637,8.13,0.511,3.889,0.257,0.936,3424,1586,R1,G3,Control
531,batch6.jpeg,0.815,2.005,0.517,89.859,0.467,2,385,1359,94.128,0.531,3.877,0.258,0.89,385,1359,R1,G7,Large_responce
583,batch3.jpeg,0.68,1.832,0.472,77.655,0.467,1.831,1084,391,77.816,0.503,3.879,0.258,0.901,1101,303,R1,G4,Large_responce
1257,batch5.jpeg,0.609,1.733,0.447,92.914,0.467,1.7,373,823,96.87,0.464,3.877,0.258,0.916,373,823,R1,G4,Large_responce
555,batch2.jpeg,0.71,1.873,0.483,89.155,0.467,1.864,831,901,85.083,0.479,3.88,0.258,0.918,838,808,R1,G6,Large_responce
52,batch7.jpeg,0.739,1.91,0.493,98.802,0.467,1.898,327,374,101.547,0.506,3.875,0.258,0.921,335,373,R1,G7,Large_responce
298,batch1.jpeg,0.603,1.723,0.446,46.075,0.467,1.717,350,1439,49.128,0.47,3.865,0.259,0.886,390,1387,R1,G7,Large_responce
402,batch2.jpeg,0.769,1.946,0.503,107.558,0.467,1.889,529,434,105.322,0.529,3.866,0.259,0.916,529,434,R1,G7,Large_responce
335,Large 1.jpg,0.624,1.75,0.454,174.457,0.467,1.732,3818,794,170.538,0.473,3.856,0.259,0.928,3822,784,R1,G3,Large_responce
790,Control 2.jpg,0.729,1.892,0.491,179.591,0.467,1.847,2059,2470,174.136,0.496,3.856,0.259,0.942,2194,2448,R1,G3,Control
1220,Control 7.jpg,0.657,1.796,0.466,6.025,0.467,1.777,1255,692,7.943,0.469,3.855,0.259,0.946,1391,653,R1,G2,Control
1217,Control 5.jpg,0.766,1.936,0.504,179.478,0.467,1.883,2971,518,170.587,0.536,3.842,0.26,0.899,3089,505,R1,G3,Control
397,batch2.jpeg,0.654,1.789,0.465,86.825,0.467,1.822,1024,111,82.725,0.477,3.846,0.26,0.904,1035,17,R1,G7,Control
293,batch1.jpeg,0.671,1.814,0.471,88.905,0.467,1.829,463,1588,85.696,0.471,3.849,0.26,0.912,461,1495,R1,G4,Control
246,Control 2.jpg,0.631,1.756,0.457,13.819,0.467,1.729,2081,460,14.036,0.453,3.84,0.26,0.932,2217,410,R1,G2,Control
177,batch5.jpeg,0.555,1.649,0.428,96.178,0.467,1.651,1008,1029,98.531,0.445,3.848,0.26,0.932,1008,1029,R1,G4,Control
523,Large 1.jpg,0.773,1.945,0.506,2.091,0.467,1.911,2846,2030,2.847,0.508,3.842,0.26,0.936,2891,2002,R1,G3,Large_responce
928,batch3.jpg,0.841,2.029,0.527,5.935,0.467,2.059,3287,1264,7.815,0.525,3.847,0.26,0.937,3418,1220,R1,G6,Control
1515,Large 5.jpg,0.671,1.812,0.472,3.613,0.467,1.835,1558,2145,0.988,0.476,3.843,0.26,0.948,1665,2116,R1,G3,Large_responce
142,batch7.jpeg,0.838,2.023,0.528,91.252,0.467,2.03,751,1099,95.654,0.54,3.834,0.261,0.911,751,1099,R1,G7,Large_responce
705,batch2.jpeg,0.548,1.636,0.427,83.167,0.467,1.623,487,1409,84.56,0.43,3.834,0.261,0.924,494,1325,R1,G7,Control
1659,Control 6.jpg,0.721,1.872,0.49,6.808,0.467,1.87,267,2311,10.081,0.499,3.817,0.262,0.947,431,2271,R1,G2,Control
501,batch2.jpeg,0.617,1.728,0.455,80.873,0.467,1.717,1005,553,77.053,0.468,3.802,0.263,0.922,1023,466,R1,G7,Control
286,Control 1.jpg,0.78,1.945,0.511,178.89,0.467,1.912,1446,578,175.83,0.515,3.808,0.263,0.946,1567,555,R1,G3,Control
1318,Large 5.jpg,0.693,1.832,0.482,2.818,0.467,1.799,2912,763,4.708,0.485,3.802,0.263,0.947,3019,736,R1,G3,Large_responce
566,batch6.jpeg,0.808,1.976,0.521,81.675,0.467,1.981,1141,1692,80.44,0.532,3.793,0.264,0.906,1147,1596,R1,G7,Large_responce
859,batch4.jpeg,0.792,1.954,0.516,91.061,0.467,1.935,1254,194,93.013,0.529,3.785,0.264,0.939,1254,194,R1,G4,Large_responce
178,batch6.jpeg,0.645,1.759,0.467,89.369,0.467,1.78,728,1004,94.497,0.478,3.766,0.265,0.884,728,1004,R1,G7,Control
55,batch6.jpeg,0.708,1.845,0.488,99.715,0.467,1.853,434,281,101.793,0.49,3.777,0.265,0.905,440,280,R1,G7,Control
1260,Control 5.jpg,0.919,2.103,0.557,177.542,0.467,2.062,2227,869,175.855,0.566,3.776,0.265,0.945,2292,849,R1,G3,Control
316,batch2.jpeg,0.523,1.582,0.421,92.049,0.467,1.61,634,67,97.125,0.424,3.757,0.266,0.908,634,67,R1,G7,Large_responce
912,Control 4.jpg,0.896,2.071,0.551,179.519,0.467,2.049,2050,1151,177.221,0.55,3.763,0.266,0.944,2196,1127,R1,G3,Control
1348,Control 5.jpg,0.83,1.993,0.53,178.973,0.467,1.951,1023,1545,176.205,0.526,3.756,0.266,0.95,1140,1523,R1,G3,Control
301,Control 2.jpg,0.567,1.644,0.439,178.154,0.467,1.628,2063,967,2.521,0.446,3.741,0.267,0.933,2116,947,R1,G2,Control
1424,Control 7.jpg,0.574,1.656,0.441,7.834,0.467,1.675,303,2666,13.782,0.442,3.751,0.267,0.934,456,2625,R1,G2,Control
1383,Control 7.jpg,0.566,1.644,0.439,5.734,0.467,1.628,2012,2218,9.403,0.445,3.749,0.267,0.939,2151,2182,R1,G2,Control
654,Control 2.jpg,0.588,1.673,0.447,0.3,0.467,1.654,2773,1341,4.478,0.447,3.741,0.267,0.94,2794,1308,R1,G3,Control
54,Control 3.jpg,0.823,1.98,0.529,176.151,0.467,1.938,3160,884,173.025,0.528,3.743,0.267,0.942,3223,865,R1,G2,Control
858,Control 4.jpg,0.781,1.93,0.515,7.128,0.467,1.9,2290,753,6.605,0.52,3.748,0.267,0.942,2414,716,R1,G3,Control
894,Control 4.jpg,0.837,1.998,0.534,0.241,0.467,1.951,2027,1044,3.795,0.546,3.742,0.267,0.946,2171,1016,R1,G3,Control
447,batch2.jpeg,0.683,1.802,0.482,93.564,0.467,1.826,835,635,93.918,0.491,3.735,0.268,0.879,835,635,R1,G7,Large_responce
823,batch3.jpeg,0.775,1.919,0.514,97.192,0.467,1.898,998,214,98.471,0.529,3.731,0.268,0.936,998,214,R1,G6,Large_responce
1023,batch3.jpeg,0.638,1.737,0.467,86.561,0.467,1.718,871,1198,88.002,0.482,3.717,0.269,0.935,871,1112,R1,G6,Large_responce
80,Control 3.jpg,0.809,1.955,0.527,10.228,0.467,1.944,1769,1201,11.195,0.533,3.712,0.269,0.937,1934,1145,R1,G3,Control
1400,Large 5.jpg,0.701,1.821,0.49,0.272,0.467,1.788,2505,1352,4.736,0.485,3.719,0.269,0.941,2537,1317,R1,G3,Large_responce
397,Control 1.jpg,0.812,1.958,0.528,1.509,0.467,1.937,3215,1485,5.886,0.541,3.707,0.27,0.941,3247,1442,R1,G3,Control
1196,Control 7.jpg,0.814,1.956,0.53,177.28,0.467,1.928,1508,456,176.044,0.525,3.693,0.271,0.935,1567,437,R1,G2,Control
317,Control 1.jpg,0.815,1.956,0.53,168.238,0.467,1.921,1255,831,171.074,0.536,3.688,0.271,0.937,1282,801,R1,G3,Control
1472,control_7.jpg,0.538,1.588,0.431,85.452,0.467,1.611,712,749,79.046,0.493,3.683,0.272,0.829,719,687,R1,G1,Control
269,batch5.jpeg,0.738,1.859,0.506,85.258,0.467,1.856,836,1688,85.553,0.519,3.676,0.272,0.915,841,1598,R1,G7,Large_responce
493,Control 1.jpg,0.737,1.858,0.505,173.102,0.467,1.845,623,2266,175.057,0.501,3.677,0.272,0.94,648,2237,R1,G3,Control
2116,batch6.jpeg,0.769,1.892,0.517,85.261,0.467,1.848,476,1450,83.797,0.595,3.66,0.273,0.88,485,1358,R1,G6,Large_responce
1323,batch5.jpeg,0.717,1.829,0.499,92.878,0.467,1.819,195,1189,95.774,0.512,3.665,0.273,0.924,195,1189,R1,G4,Large_responce
1938,batch6.jpeg,0.677,1.778,0.485,94.05,0.467,1.764,1289,384,95.194,0.483,3.668,0.273,0.94,1289,384,R1,G6,Large_responce
241,Large 4.jpg,0.853,1.995,0.545,0.732,0.467,1.964,1372,2198,3.077,0.555,3.664,0.273,0.948,1502,2166,R1,G3,Large_responce
194,batch1.jpeg,0.508,1.535,0.421,88.116,0.467,1.584,780,1031,84.428,0.429,3.645,0.274,0.868,787,949,R1,G7,Control
1005,Control 1.jpg,0.751,1.868,0.512,22.908,0.467,1.869,1546,688,21.51,0.533,3.65,0.274,0.903,1689,614,R1,G2,Control
1807,batch7.jpeg,0.749,1.862,0.512,98.138,0.467,1.871,919,896,98.931,0.572,3.636,0.275,0.878,919,896,R1,G5,Large_responce
320,Control 1.jpg,0.767,1.886,0.518,178.468,0.467,1.853,1762,831,175.696,0.546,3.643,0.275,0.928,1796,812,R1,G3,Control
1096,Control 4.jpg,0.939,2.08,0.575,179.34,0.467,2.058,1529,2571,177.51,0.596,3.621,0.276,0.936,1567,2548,R1,G3,Control
117,batch6.jpeg,0.74,1.844,0.511,89.708,0.467,1.919,681,641,94.17,0.498,3.61,0.277,0.878,681,641,R1,G7,Control
102,batch4.jpeg,0.732,1.835,0.508,86.396,0.467,1.869,915,682,86.186,0.53,3.611,0.277,0.893,920,592,R1,G7,Control
1224,Control 5.jpg,0.62,1.685,0.469,174.859,0.467,1.643,2759,601,175.84,0.483,3.595,0.278,0.936,2776,575,R1,G3,Control
1170,Control 6.jpg,0.759,1.861,0.519,121.217,0.467,1.844,827,1752,117.945,0.533,3.586,0.279,0.913,832,1750,R1,G3,Control
659,Large 3.jpg,0.851,1.972,0.549,170.755,0.467,1.956,2886,719,168.811,0.564,3.59,0.279,0.929,2909,708,R1,G3,Large_responce
1379,Large 5.jpg,0.798,1.902,0.534,173.413,0.467,1.906,1796,1224,174.92,0.545,3.561,0.281,0.916,1820,1197,R1,G3,Large_responce
306,Control 1.jpg,0.624,1.681,0.472,174.528,0.467,1.685,1502,727,169.816,0.476,3.56,0.281,0.932,1559,713,R1,G3,Control
981,Control 1.jpg,0.675,1.749,0.491,75.515,0.467,1.723,380,493,78.357,0.489,3.561,0.281,0.938,413,328,R1,G2,Control
243,batch1.jpeg,0.541,1.556,0.442,83.578,0.467,1.596,413,1200,80.096,0.476,3.517,0.284,0.868,423,1137,R1,G7,Large_responce
57,batch1.jpeg,0.666,1.727,0.491,91.593,0.467,1.709,1030,400,86.711,0.49,3.516,0.284,0.932,1033,313,R1,G4,Control
1226,Control 7.jpg,0.703,1.776,0.504,3.36,0.467,1.76,2227,763,1.332,0.497,3.524,0.284,0.934,2361,733,R1,G2,Control
1215,Control 6.jpg,0.942,2.056,0.583,82.449,0.467,2.034,725,2918,79.019,0.587,3.525,0.284,0.939,746,2717,R1,G3,Control
1039,batch4.jpeg,0.627,1.67,0.478,90.106,0.467,1.683,1183,1300,97.64,0.468,3.492,0.286,0.915,1183,1300,R1,G4,Large_responce
822,batch3.jpeg,0.571,1.589,0.458,97.577,0.467,1.621,155,836,99.752,0.479,3.473,0.288,0.891,155,836,R1,G7,Large_responce
1074,batch3.jpg,0.601,1.629,0.47,1.018,0.467,1.625,1397,2135,4.588,0.482,3.468,0.288,0.927,1455,2102,R1,G6,Control
1837,C5.jpeg,0.611,1.636,0.476,81.971,0.467,1.662,915,1250,77.276,0.483,3.44,0.291,0.91,928,1188,R1,G5,Control
1118,batch4.jpeg,0.549,1.527,0.458,89.985,0.467,1.551,287,807,93.691,0.449,3.337,0.3,0.913,287,807,R1,G7,Large_responce
167,control_batch_01.jpg,0.494,1.702,0.37,132.179,0.468,1.65,652,1302,129.352,0.382,4.602,0.217,0.914,652,1302,R1,G1,Control
1279,control_5.jpg,0.42,1.536,0.348,82.694,0.468,1.506,780,176,79.261,0.36,4.414,0.227,0.917,789,118,R1,G1,Control
206,control_batch_02.jpg,0.416,1.525,0.347,52.864,0.468,1.48,336,205,54.118,0.362,4.389,0.228,0.904,366,158,R1,G1,Control
311,control_batch_02.jpg,0.499,1.655,0.384,75.165,0.468,1.585,442,817,75.069,0.41,4.315,0.232,0.903,455,757,R1,G1,Control
261,control_batch_02.jpg,0.472,1.609,0.374,11.47,0.468,1.557,698,454,10.389,0.39,4.308,0.232,0.928,738,441,R1,G1,Control
505,control_3.jpg,0.479,1.616,0.377,61.623,0.468,1.564,627,1109,63.853,0.395,4.286,0.233,0.905,651,1054,R1,G1,Control
725,control_10.jpg,0.557,1.746,0.406,93.924,0.468,1.691,448,241,95.194,0.423,4.296,0.233,0.934,448,241,R1,G1,Control
1073,control_6.jpg,0.492,1.627,0.385,80.871,0.468,1.595,730,905,82.648,0.416,4.228,0.236,0.92,736,843,R1,G1,Control
303,batch6.jpeg,0.894,2.197,0.518,91.328,0.468,2.144,965,55,93.851,0.514,4.24,0.236,0.954,965,55,R1,G7,Large_responce
458,control_3.jpg,0.5,1.641,0.388,18.405,0.468,1.583,623,670,20.772,0.403,4.227,0.237,0.916,676,645,R1,G1,Control
1891,batch8.jpeg,0.777,2.042,0.484,141.332,0.468,2.012,196,261,141.927,0.507,4.215,0.237,0.917,202,256,R1,G5,Large_responce
500,control_3.jpg,0.57,1.745,0.416,73.827,0.468,1.677,541,1101,76.809,0.431,4.196,0.238,0.922,554,1037,R1,G1,Control
449,control_3.jpg,0.554,1.714,0.412,100.849,0.468,1.687,585,574,100.46,0.427,4.162,0.24,0.909,585,574,R1,G1,Control
1561,control_11.jpg,0.568,1.735,0.417,105.317,0.468,1.679,624,159,106.783,0.433,4.16,0.24,0.918,624,159,R1,G1,Control
1928,batch8.jpeg,0.869,2.142,0.516,153.581,0.468,2.091,891,465,155.376,0.543,4.15,0.241,0.926,895,459,R1,G5,Large_responce
76,control_batch_01.jpg,0.539,1.684,0.407,120.803,0.468,1.656,938,682,118.54,0.429,4.137,0.242,0.917,938,682,R1,G1,Control
48,batch6.jpeg,0.777,2.024,0.489,96.471,0.468,1.99,488,263,97.481,0.489,4.138,0.242,0.933,488,263,R1,G7,Control
1823,batch7.jpeg,0.847,2.111,0.511,90.277,0.468,2.064,720,968,93.668,0.502,4.132,0.242,0.948,720,968,R1,G5,Large_responce
789,batch3.jpeg,0.843,2.1,0.511,94.618,0.468,2.08,939,92,93.302,0.518,4.108,0.243,0.936,939,92,R1,G6,Large_responce
1505,batch4.jpeg,0.749,1.981,0.481,86.131,0.468,1.929,647,1791,83.463,0.501,4.117,0.243,0.943,648,1695,R1,G6,Large_responce
739,control_10.jpg,0.561,1.709,0.418,70.77,0.468,1.673,380,434,68.523,0.436,4.093,0.244,0.914,403,373,R1,G1,Control
778,batch2.jpeg,0.588,1.753,0.427,97.336,0.468,1.738,1052,1638,95.08,0.429,4.105,0.244,0.939,1052,1638,R1,G7,Control
869,Large 3.jpg,0.765,1.999,0.488,0.579,0.468,1.954,622,2163,3.094,0.476,4.1,0.244,0.953,688,2131,R1,G3,Large_responce
317,batch6.jpeg,0.941,2.212,0.542,95.644,0.468,2.171,1368,89,95.981,0.556,4.082,0.245,0.931,1368,89,R1,G7,Large_responce
170,Large 4.jpg,0.618,1.792,0.439,7.172,0.468,1.761,3136,1699,6.189,0.434,4.081,0.245,0.947,3242,1670,R1,G3,Large_responce
913,control_4.jpg,0.556,1.698,0.417,78.071,0.468,1.678,637,829,81.254,0.435,4.07,0.246,0.901,646,764,R1,G1,Control
688,batch3.jpeg,0.557,1.699,0.417,108.965,0.468,1.692,137,221,111.644,0.45,4.071,0.246,0.901,137,221,R1,G7,Large_responce
303,batch6.jpeg,0.732,1.946,0.479,98.556,0.468,1.908,465,1735,100.84,0.482,4.06,0.246,0.926,472,1734,R1,G7,Control
279,batch1.jpeg,0.93,2.195,0.54,95.278,0.468,2.158,312,1304,95.974,0.559,4.069,0.246,0.93,312,1304,R1,G7,Large_responce
